epoch,train_loss,val_loss
1,2.583402366065598,2.277441903568504
2,2.495030651643867,2.2721889121585517
3,2.4062496427436613,2.3354257427261005
4,2.3669441985438415,2.2229458544750056
5,2.37845565159634,2.1207077276875657
6,2.3488328083819643,2.171949597891599
7,2.117981491922638,2.1515250376500696
8,2.14087812854646,2.0439352100840913
9,2.1883055533669338,2.067075393587846
10,2.1285719700838133,1.8983293645622892
11,2.134310292102229,2.038500200641654
12,2.1209980489800926,1.849846571343085
13,1.9229274327941943,1.8748532665637694
14,1.9422308644031288,1.7332969559139393
15,1.9739854652611766,1.813549044289125
16,1.9155397459352084,1.7900253347638877
17,1.809759942708287,1.5690315671446244
18,1.7762986893581585,1.6750610357375655
19,1.7941226432521575,1.605960245789406
20,1.6667865089055798,1.6305343134263748
21,1.673676742676615,1.4734189563269915
22,1.6918647176806665,1.6439272314601765
23,1.5051366362103487,1.4830952294702184
24,1.4639646753742288,1.4369132436162062
25,1.545460683185105,1.3637928286003862
26,1.4099201113475865,1.44209492963682
27,1.3939357041713956,1.440690125759087
28,1.2936729116141357,1.2307468864778457
29,1.3109926530145006,1.2409270807498218
30,1.3187305996268066,1.2906280326807733
31,1.2793599175168064,1.2276735303489799
32,1.2409238427536107,1.1133849777950253
33,1.0896970012799283,1.1394268749978262
34,1.0979437901553815,1.147516756008792
35,1.0433004275191653,0.9971155877140253
36,1.0294322425115565,1.046406378439529
37,1.0511069130063266,1.0424764689241064
38,0.9684013056193387,0.9463701879944805
39,0.9033677096088016,0.8659557483576408
40,0.8773270425650965,0.9028663753703581
41,0.8749794658561415,0.803108151946566
42,0.7849873820726727,0.9377764581615402
43,0.7723824149393017,0.696905053280418
44,0.6813965894872981,0.7399210906939331
45,0.6609792468297526,0.7676396605354769
46,0.6008091911278716,0.6200930408636288
47,0.6159490077568801,0.5365661320134116
48,0.5363390166048725,0.5072717384710791
49,0.42589163425971244,0.4858626305825733
50,0.3960109652288988,0.46726474271621876
